"Linha" "Municipio" "Estado" "Ano" "POPULACAO" "PIB" "IPTU" "ISS" "ITBI"
"1" "Alvorada" "RS" 2007 207142 943154446 2799612.65 2942906 1103258.21
"2" "Americana" "SP" 2007 199094 5199136877 21744895.88 26628676.64 2275931.74
"3" "Ananindeua" "PA" 2007 484278 2795953808 3572753.52 16252830.44 951423.63
"4" "Anápolis" "GO" 2007 325544 4677123886 16429601.5 14784382.93 4614666.08
"5" "Aparecida de Goiânia" "GO" 2007 475303 3100892182 21469461 10131394.89 5281993.26
"6" "Aracaju" "SE" 2007 520303 6268971535 34682331.14 72890987.33 12753790.37
"7" "Arapiraca" "AL" 2007 202398 1306685290 390173.63 6272244.51 71937.86
"8" "Barueri" "SP" 2007 252748 26076920174 10214291.44 235342865 29165706.53
"9" "Bauru" "SP" 2007 347601 5259122804 32973712.28 27706832.12 6689199.58
"10" "Belém" "PA" 2007 1408847 13842631793 33605643 132925419 9961461
"11" "Belford Roxo" "RJ" 2007 480555 3110866883 5491046.99 10776138.64 477620.49
"12" "Belo Horizonte" "MG" 2007 2412937 38285100421 371345584.6 421776970.9 112520477.1
"13" "Betim" "MG" 2007 415098 21522756637 13542511.01 37892162.92 3329496.28
"14" "Blumenau" "SC" 2007 292972 6677608287 24776030.19 41782576.75 6605399.62
"15" "Boa Vista" "RR" 2007 249853 3035792931 5263000 16501000 1017000
"16" "Camaçari" "BA" 2007 220495 10405593426 19208161.05 65893694.97 7589789.49
"17" "Campina Grande" "PB" 2007 371060 3098298979 3676024.66 15813020 1960654.47
"18" "Campinas" "SP" 2007 1039297 26767619910 234615736 273609574.3 34764433.51
"19" "Campo Grande" "MS" 2007 724524 8956501362 70994660.72 96495152.57 14285621.89
"20" "Canoas" "RS" 2007 326458 10763587530 9603451.04 39941976.53 6728162.1
"21" "Cariacica" "ES" 2007 356536 3038712323 3556360.72 25210750.76 1776214.14
"22" "Cascavel" "PR" 2007 285784 3994537386 9628768.17 23314177.89 6575758.43
"23" "Caucaia" "CE" 2007 316906 1471920747 3440000 5556203 1591334
"24" "Caxias do Sul" "RS" 2007 399038 9789217152 24986830.41 63649105.26 18318118.4
"25" "Chapecó" "SC" 2007 164803 3522637144 7886478.69 16328152.87 2725915.49
"26" "Contagem" "MG" 2007 608650 12340154038 524586.67 812708.4 69815.08
"27" "Criciúma" "SC" 2007 185506 2534434434 4371246.86 12522903.3 2379245.72
"28" "Cuiabá" "MT" 2007 526830 7897531500 18152510.69 85343389.28 7325157.55
"29" "Curitiba" "PR" 2007 1797408 38124860572 253392750 416208792.6 89250459.41
"30" "Diadema" "SP" 2007 386779 8621541137 58290433.99 36120500.35 2442923.41
"31" "Divinópolis" "MG" 2007 209921 2606805178 9353424.69 13394514.03 2792210.98
"32" "Dourados" "MS" 2007 181869 2359939251 14358677.21 15187479.63 3166615.99
"33" "Feira de Santana" "BA" 2007 571997 4709239267 10449081.14 30787086.15 2779470.67
"34" "Florianópolis" "SC" 2007 396723 7086384518 80408803.84 89311172.49 28034815.34
"35" "Fortaleza" "CE" 2007 2431415 24476377912 91960752 227945763.6 33644645.4
"36" "Foz do Iguaçu" "PR" 2007 311336 6135510623 9818946.96 17263307.34 3016898.87
"37" "Franca" "SP" 2007 319094 3519192267 29828060.79 20586464.15 3537082.54
"38" "Goiânia" "GO" 2007 1244645 17845701388 189609772.7 206007123.5 52384995.7
"39" "Governador Valadares" "MG" 2007 260396 2463870687 9035020 16818301 3014688
"40" "Gravataí" "RS" 2007 261150 4864819803 6159427.8 11731516.97 2565855.47
"41" "Guarujá" "SP" 2007 296150 2871665313 149679710.3 52368078.28 15166954.12
"42" "Guarulhos" "SP" 2007 1236192 27558276791 168991811.1 109574437.3 19571205.97
"43" "Hortolândia" "SP" 2007 190781 3900570740 9313752 52947066 1115363
"44" "Indaiatuba" "SP" 2007 173508 3997438985 32758254.94 18237958.2 7046527.16
"45" "Ipatinga" "MG" 2007 238397 5510702713 17893789.8 28054194.35 4335263.97
"46" "Itaboraí" "RJ" 2007 215792 1493476016 4859086.4 4424970.08 3017733.62
"47" "Itabuna" "BA" 2007 210604 1789782514 2009033.88 9016343.92 906787.47
"48" "Itajaí" "SC" 2007 163218 7982908867 11435777.48 32517705.13 3595876.91
"49" "Itaquaquecetuba" "SP" 2007 334914 2332919926 15070609.07 13092644.27 1139863.32
"50" "Jaboatão dos Guararapes" "PE" 2007 665387 5588105752 19047756.19 20304959.71 3403444
"51" "Jacareí" "SP" 2007 207028 3995126021 17570854.85 18475569.73 2664869.61
"52" "João Pessoa" "PB" 2007 674762 6759231846 21683255.52 71622187.59 0
"53" "Joinville" "SC" 2007 487003 11462067944 44143482.86 58460777.38 8570277.82
"54" "Juazeiro" "BA" 2007 230538 1465445508 688204.64 5410662.23 385550.21
"55" "Juazeiro do Norte" "CE" 2007 242139 1164672775 1039075.67 4380449.5 627652.46
"56" "Juiz de Fora" "MG" 2007 513348 6501698033 44754027.83 59324924.08 8753942.79
"57" "Jundiaí" "SP" 2007 342983 13992934596 47624607.54 82453219.76 13642186.32
"58" "Londrina" "PR" 2007 497833 7927716978 60956610.21 51454963.76 11929502.54
"59" "Macapá" "AP" 2007 344153 3815987071 4712027.49 15249128.77 454678.78
"60" "Maceió" "AL" 2007 896965 8510434994 35063664.67 71411438.41 13414992.09
"61" "Manaus" "AM" 2007 1646602 34384768221 60104886.56 264992647.8 14758905.21
"62" "Marabá" "PA" 2007 196468 3093029600 1048000.74 17290015.69 269187.24
"63" "Maracanaú" "CE" 2007 197301 2607789100 1228932.01 5603925.01 237160.19
"64" "Marília" "SP" 2007 218113 2753401568 50013.15 43651.11 4912.93
"65" "Maringá" "PR" 2007 325968 6125079797 35520384.4 38240530.28 11988150.27
"66" "Mauá" "SP" 2007 402643 5359927376 35962812.31 26274731.81 1840240.26
"67" "Mossoró" "RN" 2007 234390 2651003266 1289500.4 26355484.13 905819.21
"68" "Natal" "RN" 2007 774230 8020993448 28203358.3 106461361.7 18987171.26
"69" "Niterói" "RJ" 2007 474002 8853442424 130475108.8 89450246.11 28893375.47
"70" "Nova Iguaçu" "RJ" 2007 830672 6951218147 22000884.05 31489087.63 5097866.37
"71" "Novo Hamburgo" "RS" 2007 253067 4103038005 16455822.68 24354349.43 4340498.55
"72" "Olinda" "PE" 2007 391433 2159841420 8005865.37 19403389.85 1836934.43
"73" "Osasco" "SP" 2007 701012 24619373425 90679805.53 118771515 10172709.48
"74" "Palmas" "TO" 2007 178386 2258905004 3974463.42 20716778.41 2427893.65
"75" "Paulista" "PE" 2007 307284 1364631784 3661875.73 7200939.99 1197188.55
"76" "Pelotas" "RS" 2007 339934 3169401875 16790725.01 13042074.14 3827753.67
"77" "Petrolina" "PE" 2007 268339 1925412843 2168470.49 8524985.94 2076836.46
"78" "Petrópolis" "RJ" 2007 306645 4797485596 32958394.97 44096794.98 5442686.9
"79" "Piracicaba" "SP" 2007 358108 7678195480 32082054.73 52151197.65 6715683.61
"80" "Ponta Grossa" "PR" 2007 306351 4922407748 15180348.51 18908383.32 4340542.05
"81" "Porto Alegre" "RS" 2007 1420667 33590020245 204514861.3 329619276.5 105398971.6
"82" "Porto Velho" "RO" 2007 369345 4361065512 4915011.94 31494626.08 2791564.4
"83" "Praia Grande" "SP" 2007 233806 2138288209 115415524.3 9380663.17 12368537.58
"84" "Presidente Prudente" "SP" 2007 202789 2925603190 18799429.26 16538556.44 3740291.71
"85" "Recife" "PE" 2007 1533580 20689606652 145385713.3 286035742.5 26534081.72
"86" "Ribeirão das Neves" "MG" 2007 329112 1222068249 2538401.81 2539267.52 810080.37
"87" "Ribeirão Preto" "SP" 2007 547417 12911808758 70281837.01 72741410.31 21733251.87
"88" "Rio Branco" "AC" 2007 290639 3040675535 5765699.09 17346492.33 999836.78
